NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL,REGION,REGION_S
ЭК,10/2016,DE,15,NA,21545.21,19035,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,CH,39,NA,7606.8,0.8,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,11/2016,TR,39,NA,65,13.9,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,11/2016,CH,39,NA,3444.7,0.33,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,AB,39,NA,3329.96,1370,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,11/2016,PL,84,NA,52225.38,29849.7,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,AM,84,NA,64.11,100,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,11/2016,DE,85,NA,10,0.2,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,12/2016,BY,85,NA,11084.35,194.91,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,CN,82,NA,52309.34,7359.55,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,11/2016,MY,85,NA,30,0.4,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,12/2016,AB,63,NA,517.5,270,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,DE,33,NA,122400,900,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,11/2016,AM,48,NA,8029.56,19921,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,12/2016,AB,28,NA,415.42,788.85,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,ES,22,NA,14910.91,24e3,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,12/2016,AZ,22,NA,7601.95,19195.2,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,11/2016,KZ,83,NA,320.13,6.1,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,KZ,83,NA,88.18,3.6,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,PL,73,NA,659.39,256,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,DE,35,NA,106848.15,51397.35,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,UZ,12,NA,73669.1,53773,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,10/2016,FR,38,NA,5956.27,950,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,10/2016,NL,38,NA,87237.72,174900,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,CH,73,NA,728.23,0.6,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ЭК,11/2016,DE,04,NA,26077.7,3117.44,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,DE,29,NA,1456.22,246.81,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,12/2016,PL,90,NA,64.24,7.2,0,79000 - РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ),03-ЮЖНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
