NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL
ЭК,10/2016,DE,15,,21545.21,19035,0
ИМ,12/2016,CH,39,,7606.8,0.8,0
ИМ,11/2016,TR,39,,65,13.9,0
ИМ,11/2016,CH,39,,3444.7,0.33,0
ЭК,10/2016,AB,39,,3329.96,1370,0
ЭК,11/2016,PL,84,,52225.38,29849.7,0
ЭК,10/2016,AM,84,,64.11,100,0
ИМ,11/2016,DE,85,,10,0.2,0
ЭК,12/2016,BY,85,,11084.35,194.91,0
ИМ,12/2016,CN,82,,52309.34,7359.55,0
ИМ,11/2016,MY,85,,30,0.4,0
ЭК,12/2016,AB,63,,517.5,270,0
ЭК,10/2016,DE,33,,122400,900,0
ЭК,11/2016,AM,48,,8029.56,19921,0
ЭК,12/2016,AB,28,,415.42,788.85,0
ИМ,12/2016,ES,22,,14910.91,24e3,0
ЭК,12/2016,AZ,22,,7601.95,19195.2,0
ЭК,11/2016,KZ,83,,320.13,6.1,0
ЭК,10/2016,KZ,83,,88.18,3.6,0
ИМ,12/2016,PL,73,,659.39,256,0
ИМ,12/2016,DE,35,,106848.15,51397.35,0
ИМ,12/2016,UZ,12,,73669.1,53773,0
ИМ,10/2016,FR,38,,5956.27,950,0
ЭК,10/2016,NL,38,,87237.72,174900,0
ИМ,12/2016,CH,73,,728.23,0.6,0
ЭК,11/2016,DE,04,,26077.7,3117.44,0
ИМ,12/2016,DE,29,,1456.22,246.81,0
ИМ,12/2016,PL,90,,64.24,7.2,0
ЭК,11/2016,TR,10,,673402.16,3164930,0
ЭК,10/2016,AM,44,,2921.67,5460,0
ЭК,11/2016,KZ,44,,11971.65,20800,0
ИМ,11/2016,SK,70,,731.48,54,0
ИМ,12/2016,PL,56,,312.31,62.19,0
ИМ,12/2016,CN,96,,13184.39,1723.57,0
ИМ,12/2016,CN,87,,38635.46,22999.37,0
ИМ,10/2016,DE,40,,6540.24,1.1,0
ИМ,11/2016,CH,40,,554.29,0.16,0
ИМ,10/2016,MD,20,,25901.28,24500,0
ИМ,12/2016,CN,64,,16109.6,1602.97,0
ИМ,11/2016,BY,64,,1898.91,42.63,0
ИМ,12/2016,CN,25,,669.6,110.7,0
ЭК,10/2016,UA,25,,4338.77,163e3,0
ЭК,12/2016,UA,25,,1351.11,84e3,0
ЭК,11/2016,GE,15,,18687,20675.6,0
ИМ,10/2016,DE,84,,676,1.3,0
ЭК,10/2016,MN,84,,52e3,5868,0
ЭК,10/2016,GB,09,,9830,48e3,0
ИМ,10/2016,IT,84,,100863.26,2891.62,0
ИМ,12/2016,TW,84,,2205.21,119.21,0
ЭК,12/2016,UA,39,,54401.97,44051.91,0
ЭК,12/2016,AB,39,,930.47,505,0
ИМ,12/2016,IT,39,,105.83,19.21,0
ИМ,12/2016,UA,84,,36069.51,19952,0
ЭК,11/2016,BY,84,,37250.26,6762.85,0
ИМ,12/2016,DE,85,,2389.44,0.28,0
ИМ,12/2016,SE,59,,31117.74,497.5,0
ИМ,10/2016,DE,59,,273.66,2.1,0
ЭК,12/2016,KZ,85,,8151.62,84.52,0
ИМ,12/2016,MX,85,,1492.84,1.8,0
ЭК,10/2016,NL,33,,138240,2880,0
ИМ,10/2016,BY,33,,22141.77,1477.54,0
ЭК,10/2016,CN,33,,400452,10400,0
ЭК,10/2016,BG,33,,509319.57,11917.7,0
ИМ,10/2016,US,52,,1417.3,62.5,0
ЭК,10/2016,AB,48,,60157.01,98570,0
ИМ,11/2016,CH,73,,9278.71,10.61,0
ИМ,11/2016,CN,95,,50229.62,8270.3,0
ЭК,10/2016,KZ,38,,3797.59,4872.29,0
ЭК,10/2016,KG,38,,663.79,1205.7,0
ЭК,11/2016,UA,38,,3391.58,5725.97,0
ИМ,12/2016,FR,38,,1904.75,510,0
ИМ,11/2016,DE,38,,1835.13,850.2,0
ЭК,10/2016,AB,54,,266.24,124.41,0
ЭК,10/2016,BY,73,,797.13,12.5,0
ИМ,10/2016,US,73,,6077.33,0.44,0
ЭК,11/2016,AB,04,,177799.15,163357,0
ИМ,12/2016,CN,90,,4259.6,405.59,0
ЭК,11/2016,AM,90,,662.02,220.33,0
ЭК,10/2016,KZ,90,,123.13,57.7,0
ИМ,10/2016,PL,34,,3065.22,1960,0
ЭК,11/2016,LV,72,,32800,4e4,0
ИМ,12/2016,SK,70,,85.18,10.08,0
ИМ,12/2016,IT,96,,5405.92,742.32,0
ИМ,12/2016,IN,68,,12607.22,25065,0
ИМ,10/2016,CN,68,,13385.62,20841.42,0
ЭК,10/2016,KZ,32,,178.21,196.24,0
ЭК,12/2016,AB,32,,30.36,35.68,0
ЭК,10/2016,UA,32,,269.88,303.28,0
ИМ,12/2016,CN,94,,5669.5,925.37,0
ИМ,10/2016,US,40,,2371.68,1.25,0
ИМ,11/2016,IT,40,,2213.61,3.1,0
ЭК,11/2016,UA,20,,11401.42,33177.3,0
ЭК,10/2016,GE,20,,9365.44,27889.92,0
ИМ,11/2016,TR,08,,229090.36,1e5,0
ИМ,11/2016,AM,03,,1024,125.2,0
ЭК,12/2016,CN,15,,981308.63,1238010,0
ЭК,11/2016,UA,15,,67771.46,78357.39,0
ЭК,12/2016,AB,15,,14284.44,4593,0
ЭК,11/2016,UZ,15,,1208913.46,1336201.86,0
ЭК,10/2016,AB,15,,36854.88,39490.58,0
ЭК,11/2016,UA,84,,72692.01,13400,0
ИМ,10/2016,CH,39,,162231.94,17600,0
ИМ,12/2016,DE,39,,18335.32,4885.98,0
ЭК,10/2016,AM,39,,19057.01,11800.23,0
ИМ,11/2016,BY,84,,39195.88,23193.08,0
ЭК,10/2016,EG,84,,31109.22,32870,0
ИМ,10/2016,PL,39,,29953.26,17e3,0
ИМ,10/2016,US,85,,3738.68,1.42,0
ЭК,12/2016,GE,19,,8978.29,4300,0
ЭК,10/2016,AB,63,,620.95,273,0
ЭК,10/2016,AB,33,,36.79,36,0
ЭК,10/2016,FR,33,,9600,200,0
ЭК,10/2016,UA,33,,149.47,133.39,0
ЭК,11/2016,UA,28,,659.7,1307.93,0
ЭК,10/2016,AM,48,,24017.16,58977,0
ЭК,10/2016,AM,22,,14248.78,20726.14,0
ЭК,10/2016,KZ,28,,1234.77,1908.45,0
ИМ,11/2016,TR,83,,10,0.35,0
ИМ,12/2016,CN,73,,18272.94,3125.67,0
ЭК,11/2016,BY,73,,378.54,21.8,0
ИМ,11/2016,UZ,12,,45346.3,35989,0
ЭК,12/2016,AB,04,,204354.01,174991,0
ЭК,12/2016,AB,38,,3937.81,10222.62,0
ЭК,10/2016,DE,04,,22389.27,2960.12,0
ИМ,12/2016,DE,90,,1619.86,2.64,0
ЭК,11/2016,AM,34,,871.29,1941.36,0
ЭК,11/2016,UA,34,,16403.25,23309.27,0
ИМ,11/2016,VN,72,,81362.88,94608,0
ИМ,10/2016,DE,34,,2776.41,448.02,0
ИМ,12/2016,PL,34,,4397.58,2940,0
ЭК,10/2016,DE,44,,15491.06,146162,0
ЭК,10/2016,LT,44,,8754.56,15589.5,0
ИМ,11/2016,UA,44,,16408.53,20259.68,0
ЭК,12/2016,LT,44,,9403.83,12707,0
ИМ,11/2016,TR,72,,375,51,0
ИМ,10/2016,SK,72,,179406.52,200699,0
ЭК,12/2016,AB,70,,749.75,234.9,0
ИМ,10/2016,ES,68,,28681.66,23500,0
ИМ,12/2016,CN,69,,528357.77,1687856.98,0
ИМ,10/2016,FR,32,,53339.95,16600,0
ЭК,12/2016,GE,18,,757.2,312,0
ИМ,12/2016,CZ,40,,6229.68,63,0
ИМ,12/2016,MD,20,,93822.12,98e3,0
ИМ,12/2016,CL,08,,30400,2e4,0
ИМ,12/2016,ES,20,,62370.99,47690,0
ЭК,11/2016,UA,25,,935.87,42e3,0
ИМ,10/2016,ES,84,,96644.45,42570,0
ИМ,10/2016,NL,84,,2285.37,3.6,0
ИМ,12/2016,CN,84,,66964.63,51309.17,0
ИМ,12/2016,PL,39,,30464.2,16614.03,0
ИМ,11/2016,DE,84,,14913.13,1041.72,0
ЭК,12/2016,UA,84,,404526.46,44743.2,0
ЭК,10/2016,BY,84,,90808.74,26685.5,0
ИМ,11/2016,IT,84,,1799.08,12,0
ЭК,10/2016,KZ,84,,175140.81,35698,0
ИМ,11/2016,UA,84,,30862.07,20205,0
ИМ,11/2016,IN,84,,17339.25,2280,0
ЭК,10/2016,KZ,85,,9662.88,47.14,0
ИМ,11/2016,FR,85,,60,0.3,0
ИМ,12/2016,CN,63,,2846.83,195.6,0
ЭК,11/2016,KG,19,,6315.22,3327.8,0
ЭК,12/2016,BY,19,,8879.36,10618,0
ЭК,12/2016,AZ,19,,11945.32,6400,0
ИМ,12/2016,PL,63,,480.41,30,0
ЭК,12/2016,UA,33,,195.04,122.22,0
ЭК,10/2016,KZ,33,,882.81,586.65,0
ЭК,10/2016,KG,33,,133.81,89.63,0
ЭК,12/2016,GE,48,,25600.11,21788,0
ЭК,10/2016,AB,21,,725.55,429,0
ЭК,12/2016,UA,22,,3221.25,9032.1,0
